title,original_title,score,genre,date,synopsis,durée,pays_origine
Anne with an E,Original title: Anne,8.7,"Drama,Family,Back to top",2017–2019,"The adventures of a young orphan girl living in the early 19th century. Follow Anne as she learns to navigate her new life on Prince Edward Island, in this new take on L.M. Montgomery's classic novels.",60,Canada
QI,,8.6,"Comedy,Game-Show,Back to top",2003– ,"A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer some questions as well.",30,United Kingdom
Haikyu!!,Original title: Haikyuu!!,8.7,"Animation,Comedy,Drama,Back to top",2014–2020,"Determined to be like the volleyball championship's star player nicknamed ""the small giant"", Shoyo joins his school's volleyball club.",24,Japan
Bleach: Thousand-Year Blood War,Original title: Bleach: Sennen Kessen-hen,9.4,"Animation,Action,Adventure,Back to top",2022– ,"The peace is suddenly broken when warning sirens blare through the Soul Society. Residents are disappearing without a trace and nobody knows who's behind it. Meanwhile, a darkness is approaching Ichigo and his friends in Karakura Town.",24,Japan
Critical Role,,9.3,"Adventure,Fantasy,Back to top",2015– ,"A live weekly show in which a band of professional voice actors improvise, role-play, and roll their way through an epic Dungeons and Dragons campaign.",180,United States
Mindhunter,,8.6,"Crime,Drama,Mystery,Back to top",2017–2019,"Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases.",60,United States
Yeh Meri Family,,9.0,"Comedy,Drama,Family,Back to top",2018,Set in the summer of 1998 it is a story about conflicting emotions towards family members from the eyes of a twelve year old.,30,India
Gomorrah,Original title: Gomorra: La serie,8.7,"Crime,Drama,Thriller,Back to top",2014–2021,Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.,55,"Italy,Germany"
Blackadder the Third,,8.6,"Comedy,Back to top",1987,"In the Regency era, Mr E. Blackadder serves as butler to the foppish numskull Prince George amidst the fads and crazes of the time.",180,United Kingdom
The Return of Sherlock Holmes,,8.7,"Crime,Drama,Mystery,Back to top",1986–1988,"Sherlock Holmes and Dr Watson solve the mysteries of the devil's foot, Silver Blaze, Wisteria Lodge and the Bruce-Partington Plans.",60,United Kingdom
Lonesome Dove,,8.7,"Adventure,Drama,Western,Back to top",1989,Two former Texas Rangers renew their spirit of adventure as they and several other residents of a small Texas town join a cattle drive to the Montana Territory.,384,United States
Young Justice,,8.7,"Animation,Action,Adventure,Back to top",2010–2022,Teenage superheroes strive to prove themselves as members of the Justice League.,23,United States
Yellowstone,,8.7,"Drama,Western,Back to top",2018– ,A ranching family in Montana faces off against others encroaching on their land.,60,United States
Adventure Time,,8.6,"Animation,Action,Adventure,Back to top",2010–2018,"A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other in a remote future.",11,United States
Monster,,8.7,"Animation,Crime,Drama,Back to top",2004–2005,A brilliant neurosurgeon finds his life in utter turmoil after getting involved with a psychopathic former patient.,24,Japan
Mystery Science Theater 3000,,8.7,"Comedy,Sci-Fi,Back to top",1988–1999,"In the not-too-distant future Joel Robinson is held captive by Dr. Forrester and TV's Frank, forced to watch B-Grade movies on the Satellite of Love with the help of his robot friends: Cambot, Gypsy, Tom Servo and Crow T. Robot.",92,United States
Archer,,8.6,"Animation,Action,Comedy,Back to top",2009– ,Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.,22,United States
It's a Sin,,8.7,"Comedy,Drama,History,Back to top",2021,"A chronicle of four friends during a decade in which everything changed, including the rise of AIDS.",239,United Kingdom
Heartstopper,,8.7,"Drama,Romance,Back to top",2022– ,Teens Charlie and Nick discover their unlikely friendship might be something more as they navigate school and young love in this coming-of-age series.,30,United Kingdom
Ramayan,,9.0,"Adventure,Drama,Family,Back to top",1987–1988,"An adaptation of the ancient epic, in which the exiled Prince Rama and his brother Laxman set out to save Rama's wife, Sita, who has been kidnapped by the demon king of Lanka Ravana.",30,India
Demon Slayer: Kimetsu no Yaiba,Original title: Kimetsu no Yaiba,8.7,"Animation,Action,Adventure,Back to top",2019– ,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.",24,Japan
